virus,1.1,1.2,1.3,12SE0030,12SE0031,12SE0032,2.1,2.2,3.1,3.2,3.3,4.1,4.2,4.3,5.1,5.2,5.3,6.1,6.2,6.3,7.1,7.2,7.3,8.1,8.2,8.3,9.1,9.2,9.3
BF.7,160,80,80,*,*,*,*,*,*,*,*,*,*,*,80,<80,<80,*,*,*,*,*,*,<40,<40,<40,1280,640,2560
BN.1.3.1,108,<54,<54,*,*,*,*,*,*,*,*,*,*,*,108,<54,<54,*,*,*,*,*,*,<40,<40,32,108,<54,54
BQ.1.18,<160,<160,<160,*,*,*,*,*,*,*,*,*,*,*,<80,<80,<80,*,*,*,*,*,*,<40,<40,<40,1280,640,2560
EG.5.1 (V140),80,<40,40,320,640,320,*,*,*,*,*,*,*,*,160,<40,<40,*,*,*,*,*,*,*,*,*,320,160,160
JN.1 (V148),80,<40,40,160,320,160,*,*,*,*,*,*,*,*,80,<40,80,*,*,*,*,*,*,*,*,*,160,40,<40
SARS-CoV-2_Alpha (21528),80,160,160,*,*,*,2560,5120,640,1280,1280,5120,1280,1280,<40,160,160,160,80,320,5120,1280,5120,1280,640,2560,*,*,*
SARS-CoV-2_BA.1 (26335),320,320,320,*,*,*,<160,320,160,160,160,320,320,160,1280,1280,1280,2560,640,640,640,640,640,160,<160,160,<160,<160,<160
SARS-CoV-2_BA.2 (26729_12),1280,1280,1280,*,*,*,<160,640,320,160,320,640,320,640,320,320,320,2560,5120,1280,2560,640,1280,640,<160,320,*,*,*
SARS-CoV-2_BA.2 (26729_2),1280,2560,1280,*,*,*,<160,640,320,160,320,640,640,640,320,320,320,5120,5120,1280,1280,640,1280,320,<160,320,160,160,160
SARS-CoV-2_BA.4,160,160,320,*,*,*,40,160,320,80,80,640,160,320,160,<160,<160,320,2560,<160,320,160,160,160,<20,80,*,*,*
SARS-CoV-2_BA.5,160,320,320,320,160,160,40,160,160,40,160,640,160,320,160,<160,<160,640,5120,160,320,160,160,320,<20,80,1280,640,2560
SARS-CoV-2_Beta (22131),80,160,320,*,*,*,640,1280,2560,1280,1280,2560,640,1280,20,160,80,320,160,320,2560,1280,2560,1280,160,1280,*,*,*
SARS-CoV-2_Delta (25853_23),20,80,<80,*,*,*,320,640,160,160,160,2560,2560,5120,<20,80,40,40,<40,40,2560,1280,1280,1280,320,1280,*,*,*
SARS-CoV-2_Mu,<80,320,80,*,*,*,640,1280,640,640,640,1280,320,640,<80,80,<80,320,160,640,>5120,2560,5120,1280,80,640,*,*,*
SARS-CoV-2_WT (984),<160,160,<160,<80,<80,<80,640,1280,320,320,320,1280,640,1280,<160,<160,<160,<160,<160,<160,5120,1280,2560,1280,640,1280,<40,<40,<40
XBB.2,54,<108,108,1280,1280,640,*,*,*,*,*,*,*,*,108,<54,<54,*,*,*,*,*,*,<32,<32,<32,216,216,432
rSARS-CoV-2_B.1+E484K,<80,<80,80,*,*,*,320,320,320,320,320,1280,320,640,<40,80,40,160,<80,80,2560,1280,2560,640,320,1280,*,*,*
